description,location,true_label,type
"Bibliotecària a @bibliocambrils
Meitat de @Qfemalesbiblios 
Curso el Màster en Social Media @uocuniversitat
Escric #AventuresDenNic i altres coses...",Cambrils,Cataluña,city
"Visca la terra!
Avís: Posi el que posi el meu DNI, NO SÓC ESPANYOL. Que quedi clar!

Intent d'ornitòleg i de fotògraf...

#josócCDR 🎗️  
Aturem Catalunya",Sant Hipòlit de Voltregà i San,Cataluña,city
"Malgrat tot, em segueix apasionant la política. En el sentit més aristotèlic, això sí.","Roquetes, Terres de l'Ebre",Cataluña,city
Esquerra Republicana de Cervelló som l'esquerra independentista compromesa amb el poble i la seva gent #FemCervelló,"Cervelló, Països Catalans",Cataluña,city
"Mare de dues nenes, mestra i formadora en llengües estrangeres, regidora de Besalú. Fidel a l’esperit de l’1 d’Octubre.",Besalú-Banyoles-L’Aldea (CAT),Cataluña,city
Sant Climent de Llobregat es troba situat en la comarca del Baix Llobregat i és famós per les seves cireres (aquest és el compte twitter oficial d l'Ajuntament),Sant Climent de Llobregat,Cataluña,city
infermera. no em van deixar estudiar en català,Riudaura,Cataluña,city
"Des de l' Empordà i també des de Querétaro (Mèxic), i des del desig de ser cada dia. M'agrada la meva família, córrer i estar content. Treballo a @suaracoop",Figueres,Cataluña,city
"Demògraf, historiador i professor. Col·laborador amb CED-UAB i representant dels treballadors per la FEUSOC.",Vallès Occidental,Cataluña,city
Patrimoni de la comarca de l’Alt Urgell. La nostra missió és proporcionar a la comunitat un servei d’atenció sanitària especialitzada de qualitat i eficient.,La Seu d'Urgell,Cataluña,city
"A Santa Perpètua, 'feu coses'? Ens les expliqueu i farem RT. Fan alguna cosa que t'agradi? RT i será més gran!",Santa Perpètua de Mogoda,Cataluña,city
Et portem els sabors del Lluçanès al plat. Elaboració artesana d'embotits i plats preparats. Vine i tasta'ls !,Prats de Lluçanès,Cataluña,city
Enginyer informàtic  especialitzat en desenvolupament web.,La Bisbal,Cataluña,city
"Sóc un enginyer industrial curiós, català i del Barça!
Estic casat i tinc dos fills, dos gats i un gos.",Malgrat de Mar,Cataluña,city
"Ajuntament de les Masies de Roda (Osona). Per fer tuits sobre el nostre poble, podeu fer servir l'enllaç #MasiesRoda.",les Masies de Roda,Cataluña,city
Tècnic d'Espectacles / Programador / Dissenyador / ...,St Feliu de Buixalleu,Cataluña,city
"m'agrada llegir, el Jazz, el Rock, i quasi tota la musica i sobretot ballarla. fer esport amb moderacio. Xro el que mes, el meu pais Catalunya",vilajuiga,Cataluña,city
"Olotí, garrotxí i català //*//. Treballador per l'estat catala independent amb 50 anys d'experiència. 
Em responsabilitzo del què escric, no del que entenguis.",Olot - la Garrotxa,Cataluña,city
