comunidad autonoma,provincia,ciudad
Andalucía,Almería,Almería
Andalucía,Cádiz,Cádiz
Andalucía,Córdoba,Córdoba
Andalucía,Granada,Granada
Andalucía,Huelva,Huelva
Andalucía,Jaén,Jaén
Andalucía,Huelva,Huelva
Andalucía,Málaga,Málaga
Andalucía,Sevilla,Sevilla
Aragón,Huesca,Huesca
Aragón,Teruel,Teruel
Aragón,Zaragoza,Zaragoza
Canarias,Las Palmas,Las Palmas de Gran Canaria
Canarias,Santa Cruz de Tenerife,Santa Cruz de Tenerife
Cantabria,Cantabria,Santander
Castilla y León,Ávila,Ávila
Castilla y León,Burgos,Burgos
Castilla y León,León,León
Castilla y León,Palencia,Palencia
Castilla y León,Salamanca,Salamanca
Castilla y León,Segovia,Segovia
Castilla y León,Soria,Soria
Castilla y León,Valladolid,Valladolid
Castilla y León,Zamora,Zamora
Castilla-La Mancha,Albacete,Albacete
Castilla-La Mancha,Ciudad Real,Ciudad Real
Castilla-La Mancha,Cuenca,Cuenca
Castilla-La Mancha,Guadalajara,Guadalajara
Castilla-La Mancha,Toledo,Toledo
Cataluña,Barcelona,Barcelona
Cataluña,Gerona,Gerona
Cataluña,Gerona,Girona
Cataluña,Lérida,Lérida
Cataluña,Lérida,Lleida
Cataluña,Tarragona,Tarragona
Comunidad de Madrid,Madrid,Madrid
Comunidad Valenciana,Alicante,Alicante
Comunidad Valenciana,Alicante,Alacant
Comunidad Valenciana,Castellón,Castellón de la Plana
Comunidad Valenciana,Castellón,Castelló
Comunidad Valenciana,Valencia,Valencia
Comunidad Valenciana,Valencia,València
Extremadura,Badajoz,Badajoz
Extremadura,Cáceres,Cáceres
Galicia,La Coruña,La Coruña
Galicia,La Coruña,A Coruña
Galicia,Lugo,Lugo
Galicia,Orense,Orense
Galicia,Orense,Ourense
Galicia,Pontevedra,Pontevedra
Islas Baleares,Baleares,Palma de Mallorca
Islas Baleares,Baleares,Illes Balears
La Rioja,La Rioja,Logroño
Navarra,Navarra,Pamplona
Navarra,Navarra,Nafarroa
País Vasco,Álava,Vitoria
País Vasco,Álava,Gasteiz
País Vasco,Guipúzcoa,San Sebastián
País Vasco,Guipúzcoa,Gipúzkoa
País Vasco,Guipúzcoa,Donostia
País Vasco,Vizcaya,Bilbao
País Vasco,Vizcaya,Bizkaia
País Vasco,Vizcaya,Bilbo
Principado de Asturias,Asturias,Oviedo
Principado de Asturias,Asturias,Asturies
Región de Murcia,Murcia,Murcia
Galicia,Pontevedra,Vigo
Principado de Asturias,Asturias,Gijón
Cataluña,Barcelona,Hospitalet de Llobregat
Comunidad Valenciana,Alicante,Elche
Cataluña,Barcelona,Tarrasa
Cataluña,Barcelona,Badalona
Región de Murcia,Murcia,Cartagena
Cataluña,Barcelona,Sabadell
Andalucía,Cádiz,Jerez de la Frontera
Comunidad de Madrid,Madrid,Móstoles
Comunidad de Madrid,Madrid,Alcalá de Henares
Comunidad de Madrid,Madrid,Fuenlabrada
Comunidad de Madrid,Madrid,Leganés
Comunidad de Madrid,Madrid,Getafe
Comunidad de Madrid,Madrid,Alcorcón
Canarias,Santa Cruz de Tenerife,San Cristobal de la Laguna
Andalucía,Málaga,Marbella
Andalucía,Sevilla,Dos Hernanas
Comunidad de Madrid,Madrid,Torrejón de Ardoz
Comunidad de Madrid,Madrid,Parla
Cataluña,Barcelona,Mataró
Andalucía,Cádiz,Algeciras
Cataluña,Barcelona,Santa Coloma de Gramanet
Comunidad de Madrid,Madrid,Alcobendas
Cataluña,Tarragona,Reus
Canarias,Las Palmas,Santiago del Teide
País Vasco,Vizcaya,Baracaldo
Galicia,La Coruña,Santiago de Compostela
Andalucía,Almeria,Roquetas de Mar
Comunidad de Madrid,Madrid,Las Rozas de Madrid
Andalucía,Cádiz,San Fernando
Región de Murcia,Murcia,Lorca
Cataluña,Barcelona,San Cugat del Vallés
Comunidad de Madrid,Madrid,San Sebastián de los Reyes
Cataluña,Barcelona,Cornellá de Llobregat
Andalucía,Cádiz,El Puerto de Santa María
Comunidad de Madrid,Madrid,Rivas-Vaciamadrid
Comunidad de Madrid,Madrid,Pozuelo de Alarcón
Andalucía,Cádiz,Chiclana de la Frontera
Cataluña,Barcelona,San Baudilio de Llobregat
Andalucía,Almería,El Ejido
Castilla-La Mancha,Toledo,Talavera de la Reina
Comunidad Valenciana,Alicante,Torrevieja
Andalucía,Málaga,Mijas
Comunidad Valenciana,Valencia,Torrente
Comunidad de Madrid,Madrid,Coslada
Andalucía,Málaga,Vélez-Málaga
Canarias,Santa Cruz de Tenerife,Arona
Andalucía,Málaga,Fuengirola
Principado de Asturias,Asturias,Avilés
País Vasco,Vizcaya,Getxo
Cataluña,Barcelona,Manresa
Cataluña,Barcelona,Rubí
Comunidad Valenciana,Alicante,Orihuela
Comunidad de Madrid,Madrid,Valdemoro
Andalucía,Sevilla,Alcalá de Guadaíra
Comunidad Valenciana,Valencia,Gandía
Canarias,Las Palmas,Santa Lucía de Tirajana
Comunidad de Madrid,Madrid,Majadahonda
Región de Murcia,Murcia,Molina de Segura
Comunidad Valenciana,Valencia,Paterna
Comunidad Valenciana,Alicante,Benidorm
Andalucía,Cádiz,Sanlúcar de Barrameda
Andalucía,Málaga,Torremolinos
Andalucía,Málaga,Estepona
Andalucía,Málaga,Benalmádena
Cataluña,Barcelona,Villanueva y Geltrú
Cataluña,Barcelona,Casteldefels
Cataluña,Barcelona,Viladecans
Comunidad Valenciana,Valencia,Sagunto
Galicia,La Coruña,Ferrol
Castilla y León,León,Ponferrada
Cataluña,Barcelona,El Prat de Llobregat
Comunidad de Madrid,Madrid,Collado Villalba
Andalucía,Cádiz,La Línea de la Concepción
Canarias,Las Palmas,Arrecife
País Vasco,Guipúzcoa,Irún
Castilla y León,Zamora,Zamora
Cataluña,Barcelona,Granollers
Comunidad de Madrid,Madrid,Aranjuez
Extremadura,Badajoz,Mérida
Comunidad Valenciana,Alicante,Alcoy
Comunidad Valenciana,Alicante,San Vicente del Raspeig
Andalucía,Granada,Motril
Cataluña,Barcelona,Sardañola del Vallés
Andalucía,Jaén,Linares
Comunidad de Madrid,Madrid,Arganda del Rey
Comunidad de Madrid,Madrid,Boadilla del Monte
Canarias,Las Palmas,San Bartolomé de Tirajana
