country,region,province,city,language,flag_emoji_code,demonym,homonymous_places
España/Spagna/Spain/Espanya/Espanha,,,,ca/gl/eu,:Spain:/:Ceuta_&_Melilla:,español/española,Córdoba
España/Spagna/Spain/Espanya/Espanha,Andalucía,,,,,andaluza/bético/bética/jándalo/jándala,Granada
España/Spagna/Spain/Espanya/Espanha,Andalucía,Almería,Almería,,,almeriense/urcitano/urcitana,Jaén
España/Spagna/Spain/Espanya/Espanha,Andalucía,Almería,El Ejido,,,,Aragón
España/Spagna/Spain/Espanya/Espanha,Andalucía,Almería,Roquetas de Mar,,,,Zaragoza
España/Spagna/Spain/Espanya/Espanha,Andalucía,Cádiz,Cádiz,,,gaditano/gaditana,Linares
España/Spagna/Spain/Espanya/Espanha,Andalucía,Cádiz,Jerez de la Frontera,,,,San Fernando
España/Spagna/Spain/Espanya/Espanha,Andalucía,Cádiz,Algeciras,,,,León
España/Spagna/Spain/Espanya/Espanha,Andalucía,Cádiz,San Fernando,,,,Zamora
España/Spagna/Spain/Espanya/Espanha,Andalucía,Cádiz,El Puerto de Santa María,,,,Cuenca
España/Spagna/Spain/Espanya/Espanha,Andalucía,Cádiz,Chiclana de la Frontera,,,,Guadalajara
España/Spagna/Spain/Espanya/Espanha,Andalucía,Cádiz,Sanlúcar de Barrameda,,,,Toledo
España/Spagna/Spain/Espanya/Espanha,Andalucía,Cádiz,La Línea de la Concepción,,,,Valencia
España/Spagna/Spain/Espanya/Espanha,Andalucía,Córdoba,Córdoba,,,,Mérida
España/Spagna/Spain/Espanya/Espanha,Andalucía,Granada,Granada,,,granadino/granadina/iliberitano/iliberitana,La Rioja
España/Spagna/Spain/Espanya/Espanha,Andalucía,Granada,Motril,,,,Vitoria
España/Spagna/Spain/Espanya/Espanha,Andalucía,Huelva,Huelva,,,onubense,Oviedo
España/Spagna/Spain/Espanya/Espanha,Andalucía,Jaén,Jaén,,,jiennense/giennense/jaenés/jaenésa/jaenero/jaenera/aurgitano/aurgitana,Cartagena
España/Spagna/Spain/Espanya/Espanha,Andalucía,Jaén,Linares,,,,Pinto
España/Spagna/Spain/Espanya/Espanha,Andalucía,Málaga,Benalmádena,,,,Santander
España/Spagna/Spain/Espanya/Espanha,Andalucía,Málaga,Estepona,,,,San Cristobal de la Laguna
España/Spagna/Spain/Espanya/Espanha,Andalucía,Málaga,Fuengirola,,,,
España/Spagna/Spain/Espanya/Espanha,Andalucía,Málaga,Málaga,,,malagueño/malagueña/malacitano/malacitana,
España/Spagna/Spain/Espanya/Espanha,Andalucía,Málaga,Marbella,,,,
España/Spagna/Spain/Espanya/Espanha,Andalucía,Málaga,Mijas,,,,
España/Spagna/Spain/Espanya/Espanha,Andalucía,Málaga,Torremolinos,,,,
España/Spagna/Spain/Espanya/Espanha,Andalucía,Málaga,Vélez-Málaga,,,,
España/Spagna/Spain/Espanya/Espanha,Andalucía,Sevilla,Alcalá de Guadaíra,,,,
España/Spagna/Spain/Espanya/Espanha,Andalucía,Sevilla,Dos Hernanas,,,,
España/Spagna/Spain/Espanya/Espanha,Andalucía,Sevilla,Sevilla/Seville,,,sevillano/sevillana/hispalense,
España/Spagna/Spain/Espanya/Espanha,Andalucía,Sevilla,Utrera,,,,
España/Spagna/Spain/Espanya/Espanha,Aragón,,,,,aragonés/aragonésa,
España/Spagna/Spain/Espanya/Espanha,Aragón,Huesca,Huesca,,,oscense,
España/Spagna/Spain/Espanya/Espanha,Aragón,Teruel,Teruel,,,turolense,
España/Spagna/Spain/Espanya/Espanha,Aragón,Zaragoza,Zaragoza,,,zaragozano/zaragozana,
España/Spagna/Spain/Espanya/Espanha,Canarias,,,,:Canary_Islands:,canario/canaria/palmense/herreño/herreña/palmero/palmera/tinerfeño/tinerfeña/chicharrero/chicharrera/grancanario/grancanaria/majorero/majorera/lanzaroteño/lanzaroteña/conejero/conejera/graciosero/graciosera,
España/Spagna/Spain/Espanya/Espanha,Canarias,Las Palmas,Arrecife,,,,
España/Spagna/Spain/Espanya/Espanha,Canarias,Las Palmas,Las Palmas de Gran Canaria/Gran Canaria,,,,
España/Spagna/Spain/Espanya/Espanha,Canarias,Las Palmas,San Bartolomé de Tirajana,,,,
España/Spagna/Spain/Espanya/Espanha,Canarias,Las Palmas,Santa Lucía de Tirajana,,,,
España/Spagna/Spain/Espanya/Espanha,Canarias,Las Palmas,Santiago del Teide,,,,
España/Spagna/Spain/Espanya/Espanha,Canarias,Santa Cruz de Tenerife,Arona,,,,
España/Spagna/Spain/Espanya/Espanha,Canarias,Santa Cruz de Tenerife,Granadilla de Abona,,,,
España/Spagna/Spain/Espanya/Espanha,Canarias,Santa Cruz de Tenerife,Santa Cruz de Tenerife/Tenerife,,,,
España/Spagna/Spain/Espanya/Espanha,Canarias,Santa Cruz de Tenerife,San Cristobal de la Laguna,,,,
España/Spagna/Spain/Espanya/Espanha,Cantabria,,,,,cántabro/cántabra,
España/Spagna/Spain/Espanya/Espanha,Cantabria,Cantabria,Santander,,,santanderino/santanderina/santanderiense,
España/Spagna/Spain/Espanya/Espanha,Cantabria,Cantabria,Torrelavega,,,,
España/Spagna/Spain/Espanya/Espanha,Castilla y León,,,,,castellanoleonés/castellanoleonésa,
España/Spagna/Spain/Espanya/Espanha,Castilla y León,Ávila,Ávila,,,abulense,
España/Spagna/Spain/Espanya/Espanha,Castilla y León,Burgos,Burgos,,,burgalés/burgalésa,
España/Spagna/Spain/Espanya/Espanha,Castilla y León,León,León,,,cazurro,
España/Spagna/Spain/Espanya/Espanha,Castilla y León,León,Ponferrada,,,,
España/Spagna/Spain/Espanya/Espanha,Castilla y León,Palencia,Palencia,,,,
España/Spagna/Spain/Espanya/Espanha,Castilla y León,Salamanca,Salamanca,,,salmantino/salmantina,
España/Spagna/Spain/Espanya/Espanha,Castilla y León,Segovia,Segovia,,,segoviano/segoviana,
España/Spagna/Spain/Espanya/Espanha,Castilla y León,Soria,Soria,,,soriano/soriana,
España/Spagna/Spain/Espanya/Espanha,Castilla y León,Valladolid,Valladolid,,,vallisoletano/vallisoletana,
España/Spagna/Spain/Espanya/Espanha,Castilla y León,Zamora,Zamora,,,zamorano/zamorana,
España/Spagna/Spain/Espanya/Espanha,Castilla-La Mancha,,,,,castellano-manchego/castellano-manchega/castellanomanchego/castellanomanchega,
España/Spagna/Spain/Espanya/Espanha,Castilla-La Mancha,Albacete,Albacete,,,albaceteño/albaceteña/albacetense,
España/Spagna/Spain/Espanya/Espanha,Castilla-La Mancha,Ciudad Real,Ciudad Real,,,ciudadrealeño/ciudadrealeña/culipardo/culiparda,
España/Spagna/Spain/Espanya/Espanha,Castilla-La Mancha,Cuenca,Cuenca,,,conquense,
España/Spagna/Spain/Espanya/Espanha,Castilla-La Mancha,Guadalajara,Guadalajara,,,arriacense/caracense,
España/Spagna/Spain/Espanya/Espanha,Castilla-La Mancha,Toledo,Toledo,,,toledano/toledana,
España/Spagna/Spain/Espanya/Espanha,Castilla-La Mancha,Toledo,Talavera de la Reina,,,,
España/Spagna/Spain/Espanya/Espanha,Cataluña/Catalonia/Catalunya,,,ca,,catalán/catalana,
España/Spagna/Spain/Espanya/Espanha,Cataluña/Catalonia/Catalunya,Barcelona,Barcelona/Barna,,,barcelonés/barcelonésa,
España/Spagna/Spain/Espanya/Espanha,Cataluña/Catalonia/Catalunya,Barcelona,Hospitalet de Llobregat/L'Hospitalet de Llobregat,,,,
España/Spagna/Spain/Espanya/Espanha,Cataluña/Catalonia/Catalunya,Barcelona,Tarrasa,,,,
España/Spagna/Spain/Espanya/Espanha,Cataluña/Catalonia/Catalunya,Barcelona,Badalona,,,,
España/Spagna/Spain/Espanya/Espanha,Cataluña/Catalonia/Catalunya,Barcelona,Sabadell,,,,
España/Spagna/Spain/Espanya/Espanha,Cataluña/Catalonia/Catalunya,Barcelona,Mataró,,,,
España/Spagna/Spain/Espanya/Espanha,Cataluña/Catalonia/Catalunya,Barcelona,Santa Coloma de Gramanet,,,,
España/Spagna/Spain/Espanya/Espanha,Cataluña/Catalonia/Catalunya,Tarragona,Reus,,,,
España/Spagna/Spain/Espanya/Espanha,Cataluña/Catalonia/Catalunya,Barcelona,San Cugat del Vallés,,,,
España/Spagna/Spain/Espanya/Espanha,Cataluña/Catalonia/Catalunya,Barcelona,Cornellá de Llobregat,,,,
España/Spagna/Spain/Espanya/Espanha,Cataluña/Catalonia/Catalunya,Barcelona,San Baudilio de Llobregat,,,,
España/Spagna/Spain/Espanya/Espanha,Cataluña/Catalonia/Catalunya,Barcelona,Manresa,,,,
España/Spagna/Spain/Espanya/Espanha,Cataluña/Catalonia/Catalunya,Barcelona,Rubí,,,,
España/Spagna/Spain/Espanya/Espanha,Cataluña/Catalonia/Catalunya,Barcelona,Villanueva y Geltrú/Villanova y Geltrú/Vilanova i la Geltrú,,,,
España/Spagna/Spain/Espanya/Espanha,Cataluña/Catalonia/Catalunya,Barcelona,Casteldefels,,,,
España/Spagna/Spain/Espanya/Espanha,Cataluña/Catalonia/Catalunya,Barcelona,Viladecans,,,,
España/Spagna/Spain/Espanya/Espanha,Cataluña/Catalonia/Catalunya,Barcelona,El Prat de Llobregat,,,,
España/Spagna/Spain/Espanya/Espanha,Cataluña/Catalonia/Catalunya,Barcelona,Granollers,,,,
España/Spagna/Spain/Espanya/Espanha,Cataluña/Catalonia/Catalunya,Barcelona,Sardañola del Vallés,,,,
España/Spagna/Spain/Espanya/Espanha,Cataluña/Catalonia/Catalunya,Barcelona,Mollet del Vallés,,,,
España/Spagna/Spain/Espanya/Espanha,Cataluña/Catalonia/Catalunya,Gerona,Gerona/Girona,,,gerundense,
España/Spagna/Spain/Espanya/Espanha,Cataluña/Catalonia/Catalunya,Lérida,Lérida/Lleida,,,leridano/leridana/ilerdense,
España/Spagna/Spain/Espanya/Espanha,Cataluña/Catalonia/Catalunya,Tarragona,Tarragona,,,tarraconense,
España/Spagna/Spain/Espanya/Espanha,Ceuta,,,,,ceutí,
España/Spagna/Spain/Espanya/Espanha,Comunidad de Madrid,,,,,,
España/Spagna/Spain/Espanya/Espanha,Comunidad de Madrid,Madrid,Madrid,,,madrileño/madrileña,
España/Spagna/Spain/Espanya/Espanha,Comunidad de Madrid,Madrid,Móstoles,,,,
España/Spagna/Spain/Espanya/Espanha,Comunidad de Madrid,Madrid,Alcalá de Henares,,,,
España/Spagna/Spain/Espanya/Espanha,Comunidad de Madrid,Madrid,Fuenlabrada,,,,
España/Spagna/Spain/Espanya/Espanha,Comunidad de Madrid,Madrid,Leganés,,,,
España/Spagna/Spain/Espanya/Espanha,Comunidad de Madrid,Madrid,Getafe,,,,
España/Spagna/Spain/Espanya/Espanha,Comunidad de Madrid,Madrid,Alcorcón,,,,
España/Spagna/Spain/Espanya/Espanha,Comunidad de Madrid,Madrid,Torrejón de Ardoz,,,,
España/Spagna/Spain/Espanya/Espanha,Comunidad de Madrid,Madrid,Parla,,,,
España/Spagna/Spain/Espanya/Espanha,Comunidad de Madrid,Madrid,Alcobendas,,,,
España/Spagna/Spain/Espanya/Espanha,Comunidad de Madrid,Madrid,Las Rozas de Madrid,,,,
España/Spagna/Spain/Espanya/Espanha,Comunidad de Madrid,Madrid,San Sebastián de los Reyes,,,,
España/Spagna/Spain/Espanya/Espanha,Comunidad de Madrid,Madrid,Rivas-Vaciamadrid,,,,
España/Spagna/Spain/Espanya/Espanha,Comunidad de Madrid,Madrid,Pozuelo de Alarcón,,,,
España/Spagna/Spain/Espanya/Espanha,Comunidad de Madrid,Madrid,Coslada,,,,
España/Spagna/Spain/Espanya/Espanha,Comunidad de Madrid,Madrid,Valdemoro,,,,
España/Spagna/Spain/Espanya/Espanha,Comunidad de Madrid,Madrid,Majadahonda,,,,
España/Spagna/Spain/Espanya/Espanha,Comunidad de Madrid,Madrid,Collado Villalba,,,,
España/Spagna/Spain/Espanya/Espanha,Comunidad de Madrid,Madrid,Aranjuez,,,,
España/Spagna/Spain/Espanya/Espanha,Comunidad de Madrid,Madrid,Arganda del Rey,,,,
España/Spagna/Spain/Espanya/Espanha,Comunidad de Madrid,Madrid,Boadilla del Monte,,,,
España/Spagna/Spain/Espanya/Espanha,Comunidad de Madrid,Madrid,Pinto,,,,
España/Spagna/Spain/Espanya/Espanha,Comunidad de Madrid,Madrid,Colmenar Viejo,,,,
