date_hour,Tipo,total
2020-06-11 00,Original,300
2020-06-11 00,Cita,96
2020-06-11 00,Respuesta,127
2020-06-11 00,Retweet,1348
2020-06-11 01,Original,288
2020-06-11 01,Cita,76
2020-06-11 01,Respuesta,87
2020-06-11 01,Retweet,896
2020-06-11 02,Retweet,898
2020-06-11 02,Respuesta,47
2020-06-11 02,Original,184
2020-06-11 02,Cita,53
2020-06-11 03,Original,171
2020-06-11 03,Cita,48
2020-06-11 03,Respuesta,73
2020-06-11 03,Retweet,1057
2020-06-11 04,Original,223
2020-06-11 04,Cita,50
2020-06-11 04,Respuesta,103
2020-06-11 04,Retweet,1172
2020-06-11 05,Retweet,2641
2020-06-11 05,Respuesta,160
2020-06-11 05,Original,542
2020-06-11 05,Cita,120
2020-06-11 06,Original,1006
2020-06-11 06,Cita,275
2020-06-11 06,Respuesta,257
2020-06-11 06,Retweet,4154
2020-06-11 07,Retweet,5410
2020-06-11 07,Original,1598
2020-06-11 07,Cita,386
2020-06-11 07,Respuesta,366
2020-06-11 08,Retweet,5650
2020-06-11 08,Respuesta,393
2020-06-11 08,Original,1582
2020-06-11 08,Cita,469
2020-06-11 09,Respuesta,381
2020-06-11 09,Original,1460
2020-06-11 09,Cita,433
2020-06-11 09,Retweet,5542
2020-06-11 10,Retweet,5017
2020-06-11 10,Respuesta,391
2020-06-11 10,Original,1493
2020-06-11 10,Cita,372
2020-06-11 11,Original,1314
2020-06-11 11,Cita,311
2020-06-11 11,Respuesta,319
2020-06-11 11,Retweet,4291
2020-06-11 12,Original,923
2020-06-11 12,Cita,301
2020-06-11 12,Respuesta,278
2020-06-11 12,Retweet,3792
2020-06-11 13,Retweet,3863
2020-06-11 13,Respuesta,260
2020-06-11 13,Original,748
2020-06-11 13,Cita,272
2020-06-11 14,Original,724
2020-06-11 14,Cita,228
2020-06-11 14,Respuesta,253
2020-06-11 14,Retweet,3282
2020-06-11 15,Respuesta,242
2020-06-11 15,Retweet,2873
2020-06-11 15,Cita,209
2020-06-11 15,Original,767
2020-06-11 16,Original,668
2020-06-11 16,Cita,208
2020-06-11 16,Respuesta,229
2020-06-11 16,Retweet,2616
2020-06-11 17,Original,648
2020-06-11 17,Cita,207
2020-06-11 17,Respuesta,221
2020-06-11 17,Retweet,2717
2020-06-11 18,Retweet,3016
2020-06-11 18,Original,747
2020-06-11 18,Cita,203
2020-06-11 18,Respuesta,239
2020-06-11 19,Respuesta,215
2020-06-11 19,Retweet,3304
2020-06-11 19,Original,638
2020-06-11 19,Cita,216
2020-06-11 20,Retweet,3535
2020-06-11 20,Respuesta,241
2020-06-11 20,Cita,223
2020-06-11 20,Original,672
2020-06-11 21,Original,601
2020-06-11 21,Cita,218
2020-06-11 21,Respuesta,273
2020-06-11 21,Retweet,3625
2020-06-11 22,Respuesta,201
2020-06-11 22,Retweet,2728
2020-06-11 22,Original,411
2020-06-11 22,Cita,151
2020-06-11 23,Original,251
2020-06-11 23,Cita,125
2020-06-11 23,Respuesta,120
2020-06-11 23,Retweet,1809
2020-06-12 00,Original,213
2020-06-12 00,Cita,89
2020-06-12 00,Respuesta,91
2020-06-12 00,Retweet,1208
2020-06-12 01,Retweet,863
2020-06-12 01,Respuesta,80
2020-06-12 01,Cita,62
2020-06-12 01,Original,164
2020-06-12 02,Original,174
2020-06-12 02,Cita,65
2020-06-12 02,Respuesta,67
2020-06-12 02,Retweet,692
2020-06-12 03,Respuesta,47
2020-06-12 03,Retweet,605
2020-06-12 03,Original,131
2020-06-12 03,Cita,46
2020-06-12 04,Original,204
2020-06-12 04,Cita,73
2020-06-12 04,Respuesta,72
2020-06-12 04,Retweet,931
2020-06-12 05,Retweet,2011
2020-06-12 05,Original,505
2020-06-12 05,Cita,145
2020-06-12 05,Respuesta,112
2020-06-12 06,Retweet,3388
2020-06-12 06,Respuesta,225
2020-06-12 06,Cita,215
2020-06-12 06,Original,931
2020-06-12 07,Original,1472
2020-06-12 07,Cita,319
2020-06-12 07,Respuesta,302
2020-06-12 07,Retweet,3958
2020-06-12 08,Respuesta,369
2020-06-12 08,Retweet,4210
2020-06-12 08,Original,1398
2020-06-12 08,Cita,333
2020-06-12 09,Original,1443
2020-06-12 09,Cita,381
2020-06-12 09,Respuesta,368
2020-06-12 09,Retweet,4117
2020-06-12 10,Original,1345
2020-06-12 10,Cita,317
2020-06-12 10,Respuesta,383
2020-06-12 10,Retweet,3550
2020-06-12 11,Retweet,3366
2020-06-12 11,Respuesta,300
2020-06-12 11,Cita,278
2020-06-12 11,Original,1150
2020-06-12 12,Original,874
2020-06-12 12,Cita,264
2020-06-12 12,Respuesta,258
2020-06-12 12,Retweet,2875
2020-06-12 13,Respuesta,258
2020-06-12 13,Retweet,2830
2020-06-12 13,Original,704
2020-06-12 13,Cita,242
2020-06-12 14,Original,672
2020-06-12 14,Cita,212
2020-06-12 14,Respuesta,254
2020-06-12 14,Retweet,2642
2020-06-12 15,Retweet,2577
2020-06-12 15,Original,657
2020-06-12 15,Cita,183
2020-06-12 15,Respuesta,226
2020-06-12 16,Cita,220
2020-06-12 16,Respuesta,230
2020-06-12 16,Original,629
2020-06-12 16,Retweet,2376
2020-06-12 17,Retweet,2320
2020-06-12 17,Respuesta,199
2020-06-12 17,Original,632
2020-06-12 17,Cita,200
2020-06-12 18,Original,596
2020-06-12 18,Cita,188
2020-06-12 18,Respuesta,216
2020-06-12 18,Retweet,2494
2020-06-12 19,Respuesta,201
2020-06-12 19,Retweet,2380
2020-06-12 19,Original,571
2020-06-12 19,Cita,149
2020-06-12 20,Original,513
2020-06-12 20,Cita,364
2020-06-12 20,Respuesta,204
2020-06-12 20,Retweet,2852
2020-06-12 21,Retweet,4198
2020-06-12 21,Original,369
2020-06-12 21,Cita,1016
2020-06-12 21,Respuesta,198
2020-06-12 22,Retweet,3606
2020-06-12 22,Respuesta,204
2020-06-12 22,Original,366
2020-06-12 22,Cita,491
2020-06-12 23,Original,342
2020-06-12 23,Cita,344
2020-06-12 23,Respuesta,159
2020-06-12 23,Retweet,2822
2020-06-13 00,Retweet,1713
2020-06-13 00,Respuesta,102
2020-06-13 00,Original,241
2020-06-13 00,Cita,187
2020-06-13 01,Original,293
2020-06-13 01,Cita,107
2020-06-13 01,Respuesta,69
2020-06-13 01,Retweet,1159
