day_week,hour,Tipo,total
Domingo 14-06-2020,00,Original,228
Domingo 14-06-2020,00,Cita,111
Domingo 14-06-2020,00,Respuesta,116
Domingo 14-06-2020,00,Retweet,1590
Domingo 14-06-2020,01,Original,173
Domingo 14-06-2020,01,Cita,55
Domingo 14-06-2020,01,Respuesta,88
Domingo 14-06-2020,01,Retweet,1097
Domingo 14-06-2020,02,Original,138
Domingo 14-06-2020,02,Cita,67
Domingo 14-06-2020,02,Respuesta,50
Domingo 14-06-2020,02,Retweet,736
Domingo 14-06-2020,03,Original,132
Domingo 14-06-2020,03,Cita,36
Domingo 14-06-2020,03,Respuesta,44
Domingo 14-06-2020,03,Retweet,585
Domingo 14-06-2020,04,Original,215
Domingo 14-06-2020,04,Cita,54
Domingo 14-06-2020,04,Respuesta,54
Domingo 14-06-2020,04,Retweet,718
Domingo 14-06-2020,05,Original,257
Domingo 14-06-2020,05,Cita,69
Domingo 14-06-2020,05,Respuesta,61
Domingo 14-06-2020,05,Retweet,1235
Domingo 14-06-2020,06,Original,555
Domingo 14-06-2020,06,Cita,125
Domingo 14-06-2020,06,Respuesta,148
Domingo 14-06-2020,06,Retweet,2200
Domingo 14-06-2020,07,Original,980
Domingo 14-06-2020,07,Cita,254
Domingo 14-06-2020,07,Respuesta,250
Domingo 14-06-2020,07,Retweet,3724
Domingo 14-06-2020,08,Original,1127
Domingo 14-06-2020,08,Cita,323
Domingo 14-06-2020,08,Respuesta,391
Domingo 14-06-2020,08,Retweet,5577
Domingo 14-06-2020,09,Original,1151
Domingo 14-06-2020,09,Cita,489
Domingo 14-06-2020,09,Respuesta,415
Domingo 14-06-2020,09,Retweet,6581
Domingo 14-06-2020,10,Original,1026
Domingo 14-06-2020,10,Cita,381
Domingo 14-06-2020,10,Respuesta,455
Domingo 14-06-2020,10,Retweet,6114
Domingo 14-06-2020,11,Original,982
Domingo 14-06-2020,11,Cita,373
Domingo 14-06-2020,11,Respuesta,391
Domingo 14-06-2020,11,Retweet,5337
Domingo 14-06-2020,12,Original,698
Domingo 14-06-2020,12,Cita,338
Domingo 14-06-2020,12,Respuesta,301
