date,Sentimiento,id
2020-06-11,negativo,40116
2020-06-11,neutral,36228
2020-06-11,positivo,27577
2020-06-12,negativo,34220
2020-06-12,neutral,28908
2020-06-12,positivo,27017
2020-06-13,negativo,32954
2020-06-13,neutral,30825
2020-06-13,positivo,34215
2020-06-14,positivo,25455
2020-06-14,neutral,36070
2020-06-14,negativo,37170
2020-06-15,negativo,33378
2020-06-15,neutral,34429
2020-06-15,positivo,21246
2020-06-16,negativo,34105
2020-06-16,neutral,29507
2020-06-16,positivo,21294
2020-06-17,negativo,36948
2020-06-17,neutral,31108
2020-06-17,positivo,24698
